BlueprintId;Name;Version;MinPriceCents;MinPriceEuro
12137;Wood Sage;Regular;11;0,11
12138;Spontaneous Combustion;Regular;11;0,11
12139;Spiritmonger;Regular;13;0,13
12140;Sky Spirit;Regular;11;0,11
12136;Altar of Dementia;Regular;568;5,68
12135;Deathrender;Regular;140;1,40
12134;Explorer's Scope;Regular;14;0,14
12133;Fireshrieker;Regular;14;0,14
12145;Edric, Spymaster of Trest;Regular;70;0,70
12132;Galvanic Juggernaut;Regular;11;0,11
12131;Peace Strider;Regular;11;0,11
12130;Reito Lantern;Regular;14;0,14
12149;Wrap in Vigor;Regular;70;0,70
12150;Wolfbriar Elemental;Regular;17;0,17
12129;Runed Servitor;Regular;11;0,11
12128;Silent Arbiter;Regular;614;6,14
12127;Spectral Searchlight;Regular;11;0,11
12154;Scaled Wurm;Regular;11;0,11
12155;Sakura-Tribe Elder;Regular;29;0,29
12126;Vedalken Orrery;Regular;341;3,41
12125;Warmonger's Chariot;Regular;11;0,11
12158;Provoke;Regular;11;0,11
12159;Plummet;Regular;11;0,11
12160;Pelakka Wurm;Regular;11;0,11
12124;Mirrodin's Core;Regular;11;0,11
12162;Lead the Stampede;Regular;54;0,54
12163;Hydra Omnivore;Regular;80;0,80
12164;Hunger of the Howlpack;Regular;14;0,14
12165;Howling Wolf;Regular;11;0,11
12123;Quicksand;Regular;14;0,14
12122;Reflecting Pool;Regular;765;7,65
12121;Spirit;Regular;0;0.00
12169;Elvish Aberration;Regular;11;0,11
12170;Elephant Guide;Regular;11;0,11
12120;Demon;Regular;0;0.00
12119;Zombie;Regular;0;0.00
12173;Charging Rhino;Regular;11;0,11
12174;Wrap in Flames;Regular;11;0,11
12175;Volcanic Fallout;Regular;11;0,11
12118;Ogre;Regular;0;0.00
12117;Elephant;Regular;0;0.00
12116;Squirrel;Regular;0;0.00
12179;Torch Fiend;Regular;11;0,11
12180;Sulfuric Vortex;Regular;94;0,94
12115;Wolf;Regular;0;0.00
12114;Construct;Regular;0;0.00
12113;Dack Fayden Emblem;Regular;0;0.00
12184;Orcish Cannonade;Regular;11;0,11
12185;Mana Geyser;Regular;102;1,02
12141;Pernicious Deed;Regular;460;4,60
12142;Mortify;Regular;17;0,17
12188;Heartless Hidetsugu;Regular;100;1,00
12189;Flowstone Blade;Regular;11;0,11
12190;Flaring Flame-Kin;Regular;11;0,11
12143;Mirari's Wake;Regular;250;2,50
12144;Fires of Yavimaya;Regular;45;0,45
12193;Chartooth Cougar;Regular;11;0,11
12194;Brimstone Volley;Regular;11;0,11
12195;Boldwyr Intimidator;Regular;11;0,11
12146;Dimir Doppelganger;Regular;29;0,29
12197;Zombie Goliath;Regular;11;0,11
12198;Wakedancer;Regular;11;0,11
12199;Victimize;Regular;55;0,55
12200;Vampire Hexmage;Regular;16;0,16
12147;Decimate;Regular;23;0,23
12148;Basandra, Battle Seraph;Regular;65;0,65
12151;Terastodon;Regular;22;0,22
12152;Squirrel Nest;Regular;13;0,13
12205;Syphon Soul;Regular;11;0,11
